Date and Name,Date,Name,Position,Picture,RPE,Sleep Quality,Sleep Duration,Fatigue,Soreness,Stress,Readiness Score,Session,GPS Load,Total Distance,Low Intensity Distance,Moderate Intensity Distance,High Intensity Distance,Sprint Distance,Total Acceleration,Med. Intensity Accel Count,High Int. Accel Count,Max Int. Accel Count,Total Deceleration,Med. Intensity Decel Count,High Intensity Decel Counts,Max Intensity Decel Counts,Top Sprint Speed
45121Wayne Gretzky,45121,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,6,7,7,5,6,6,79,Tempo,62,1348,215.68,337,471.8,323.52,15,2.4,4.5,8.1,12,7,4,0,15.46
45114Michael Jordan,45114,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,7.5,6,6,7.5,4,5,79.5,Tempo,196,1346,215.36,336.5,471.1,323.04,18,2.88,5.4,9.72,17,11,6,0,14.81
45121Michael Jordan,45121,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,8,6,6,8,6,6,83,Tempo,219,1343,214.88,335.75,470.05,322.32,13,2.08,3.9,7.02,16,10,6,0,17.09
45142Michael Jordan,45142,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,6.5,7,9,5.5,4,7,76.5,Tempo,221,1332,213.12,333,466.2,319.68,9,1.44,2.7,4.86,16,10,6,0,21.07
45149Tom Brady,45149,Tom Brady,QB,https://apps.bostonglobe.com/sports/graphics/2017/01/tom-brady-superfreak/assets/img/brady_old.png,7.5,8,8,8,8.5,8,83,Tempo,198,1324,211.84,331,463.4,317.76,10,1.6,3,5.4,19,12,7,0,14.02
45114Pele,45114,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,8,8,8,5,5.5,8,80.5,Tempo,107,1317,210.72,329.25,460.95,316.08,13,2.08,3.9,7.02,15,9,5,0,16.23
45149Serena Williams,45149,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,9,6,6,7,7,4,83,Tempo,140,1299,207.84,324.75,454.65,311.76,16,2.56,4.8,8.64,12,7,4,0,14.53
45114Jackie Robinson,45114,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,6,6,6,5.5,5,7,81,Tempo,184,1291,206.56,322.75,451.85,309.84,17,2.72,5.1,9.18,15,9,5,0,16.61
45135Kobe Bryant,45135,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,5.5,6.5,7,8,6.5,4,77.5,Tempo,56,1291,206.56,322.75,451.85,309.84,17,2.72,5.1,9.18,15,9,5,0,14.45
45128Wayne Gretzky,45128,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,7.5,8,8,6,6,6,78.5,Tempo,182,1273,203.68,318.25,445.55,305.52,8,1.28,2.4,4.32,19,12,7,0,22.45
45135Roger Federer,45135,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,8.5,6,6,7.5,7.5,6,85,Tempo,92,1254,200.64,313.5,438.9,300.96,14,2.24,4.2,7.56,12,7,4,0,21.48
45142Serena Williams,45142,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,6,8,8,5.5,4.5,4,73.5,Tempo,192,1229,196.64,307.25,430.15,294.96,10,1.6,3,5.4,15,9,5,0,15.55
45128Pele,45128,Pele,Forward,https://i.guim.co.uk/img/media/6e5f6d8d3e75e53d38d0d640a03ae88acd39fec1/0_0_2515_3180/master/2515.jpg?width=700&quality=85&auto=format&fit=max&s=181d7944e658c049e0045f91bb0ce989,7,7.5,7,3.5,7.5,6,81,Tempo,115,1228,196.48,307,429.8,294.72,16,2.56,4.8,8.64,13,8,5,0,20.69
45128Roger Federer,45128,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,7,6.5,7,5.5,5,5,78.5,Tempo,63,1219,195.04,304.75,426.65,292.56,16,2.56,4.8,8.64,20,12,7,0,13.97
45142Roger Federer,45142,Roger Federer,Tennis,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/425.png,8.5,6,6,8,7.5,5,84,Tempo,138,1216,194.56,304,425.6,291.84,9,1.44,2.7,4.86,18,11,6,0,21.21
45114Serena Williams,45114,Serena Williams,Tennis,https://bongo5.com/wp-content/uploads/2017/08/serena...jpg,8,6,6,7,5,8,84,Tempo,110,1195,191.2,298.75,418.25,286.8,11,1.76,3.3,5.94,14,9,5,0,17.2
45149Wayne Gretzky,45149,Wayne Gretzky,Center,https://media.gettyimages.com/id/51390816/photo/montreal-qc-wayne-gretzky-of-the-edmonton-oilers-poses-for-a-portrait-on-january-9-1985-at-the.jpg?s=612x612&w=gi&k=20&c=ykQG9ElBkw-A4rW4mC-2ruUVB5-kCvwZPsxV_MMgyNc=,7,7,7,4.5,8.5,6,82.5,Tempo,126,1187,189.92,296.75,415.45,284.88,9,1.44,2.7,4.86,12,7,4,0,21.18
45121Jackie Robinson,45121,Jackie Robinson,2B,https://hips.hearstapps.com/hmg-prod/images/jackie-robinson-brooklyn-dodger-from-1947-1956-the-first-news-photo-1686849060.jpg,5.5,6,6.5,6.5,7,4,79,Tempo,79,1184,189.44,296,414.4,284.16,12,1.92,3.6,6.48,19,12,7,0,22.2
45128Michael Jordan,45128,Michael Jordan,Guard,https://clutchpoints-profile-pics.s3.amazonaws.com/headshots/jordanm.png,7.5,7,7,5.5,5,7,80.5,Tempo,178,1154,184.64,288.5,403.9,276.96,15,2.4,4.5,8.1,13,8,5,0,16.11
45114Kobe Bryant,45114,Kobe Bryant,Guard,https://cdn.nba.com/headshots/nba/latest/1040x760/977.png,6.5,7,7,5,8,6,81.5,Tempo,183,1153,184.48,288.25,403.55,276.72,13,2.08,3.9,7.02,14,9,5,0,15.19
